You are connected to uwbot-04
Robot is reachable
ros2 topic subscription working. Everything is working as expected.
running main
Listening for keyboard events. Press keys to test, Ctrl C to exit
0.0, 1716740558.640924
0.0, 1716740558.6566422
0.0, 1716740558.6718304
2.69256591796875, 1716740567.2445464
2.8676605224609375, 1716740567.4192743
2.86376953125, 1716740567.5810575
2.8948974609375, 1716740567.7078733
2.9221343994140625, 1716740567.9120574
2.9376983642578125, 1716740568.1090295
3.058319091796875, 1716740568.299402
3.136138916015625, 1716740568.506844
3.25286865234375, 1716740568.7031152
3.1711578369140625, 1716740568.9197803
3.03497314453125, 1716740569.5019255
2.762603759765625, 1716740579.726218
2.6964569091796875, 1716740579.899692
2.6497650146484375, 1716740580.0430098
2.8287506103515625, 1716740580.1851752
2.61474609375, 1716740580.3175719
2.7703857421875, 1716740582.429821
37.345733642578125, 1716740589.1461384
39.86320495605469, 1716740589.2691104
43.929290771484375, 1716740589.4275694
25.863418579101562, 1716740590.105508
19.882965087890625, 1716740590.3348298
18.575592041015625, 1716740590.5260432
17.910232543945312, 1716740590.718017
16.3421630859375, 1716740590.9413714
16.439437866210938, 1716740591.1162527
20.209808349609375, 1716740591.3007438
0.0, 1716740594.2850904
keyboard interrupt receieved.Stopping...
Keyb list stopped
