You are connected to uwbot-04
Robot is reachable
ros2 topic subscription working. Everything is working as expected.
running main
Listening for keyboard events. Press keys to test, Ctrl C to exit
0.0, 1716740900.948852
0.0, 1716740901.2183554
0.0, 1716740901.489329
0.0, 1716740901.7675433
0.0, 1716740902.0356407
0.0, 1716740902.3044276
0.0, 1716740902.5729578
0.0, 1716740902.8420746
0.0, 1716740903.113266
0.0, 1716740903.383118
0.0, 1716740903.6509
0.0, 1716740903.920053
0.0, 1716740904.1883123
0.0, 1716740904.4561055
0.0, 1716740904.7243984
0.0, 1716740904.996403
0.0, 1716740905.266392
0.0, 1716740905.5370698
0.0, 1716740905.807603
0.0, 1716740906.0782957
0.0, 1716740906.3458545
0.0, 1716740906.6155674
0.0, 1716740906.8851278
0.0, 1716740907.1538093
0.0, 1716740907.4232783
0.0, 1716740907.6922615
0.0, 1716740907.9612162
0.0, 1716740908.2283907
0.0, 1716740908.4983099
0.0, 1716740908.7672842
0.0, 1716740909.0363615
0.0, 1716740909.3082783
0.0, 1716740909.5760214
0.0, 1716740909.8455465
0.0, 1716740910.1190944
0.0, 1716740910.3885806
0.0, 1716740910.6599793
0.007781982421875, 1716740910.9312282
1.330718994140625, 1716740911.2011733
1.9416046142578125, 1716740911.4696043
0.4863739013671875, 1716740911.7376935
3.571929931640625, 1716740912.0080004
3.3579254150390625, 1716740912.2764022
3.089447021484375, 1716740912.5444117
2.8754425048828125, 1716740912.8164186
3.2256317138671875, 1716740913.0837655
3.2645416259765625, 1716740913.3539484
3.3734893798828125, 1716740913.6225734
3.3190155029296875, 1716740913.8904545
3.525238037109375, 1716740914.1610284
3.59527587890625, 1716740914.4296162
3.4279632568359375, 1716740914.6988704
3.2684326171875, 1716740914.9676764
3.1711578369140625, 1716740915.2381506
3.1089019775390625, 1716740915.50681
3.276214599609375, 1716740915.7791176
3.2100677490234375, 1716740916.0492272
3.229522705078125, 1716740916.3187277
3.03497314453125, 1716740916.5878243
2.9688262939453125, 1716740916.8560886
2.2995758056640625, 1716740917.1270943
0.0, 1716740917.3958907
0.0, 1716740917.6643326
0.0, 1716740917.9333403
0.0, 1716740918.2012277
0.0, 1716740918.4696286
0.0, 1716740918.7399073
0.0, 1716740919.0090716
0.0, 1716740919.277468
0.0, 1716740919.545972
0.0, 1716740919.814534
0.0, 1716740920.0826123
0.0, 1716740920.3523111
0.0, 1716740920.6203067
0.0, 1716740920.8891206
0.0, 1716740921.1586113
0.0, 1716740921.427974
0.0, 1716740921.6966786
0.0, 1716740921.9637184
0.0, 1716740922.231693
0.0, 1716740922.5015132
0.0, 1716740922.770313
0.0, 1716740923.0394857
0.0, 1716740923.3077734
0.0, 1716740923.5766313
0.0, 1716740923.846641
0.0, 1716740924.1148815
0.0, 1716740924.383021
0.0, 1716740924.6534467
0.0, 1716740924.9218733
0.0, 1716740925.1921024
0.0, 1716740925.4621496
0.0, 1716740925.7311676
0.0, 1716740925.999628
0.0, 1716740926.269414
0.0, 1716740926.5374827
0.0, 1716740926.807742
0.0, 1716740927.0782437
1.1517333984375, 1716740927.3502455
2.7509307861328125, 1716740927.6208875
2.16339111328125, 1716740927.889813
1.439666748046875, 1716740928.1603985
1.3190460205078125, 1716740928.429777
1.0466766357421875, 1716740928.7010946
1.0544586181640625, 1716740928.9706213
1.2645721435546875, 1716740929.2386146
1.175079345703125, 1716740929.5087767
1.159515380859375, 1716740929.778339
1.1867523193359375, 1716740930.0463405
1.1945343017578125, 1716740930.3155499
1.19842529296875, 1716740930.5869188
1.175079345703125, 1716740930.8568711
1.182861328125, 1716740931.1259596
1.190643310546875, 1716740931.3960438
1.19842529296875, 1716740931.66699
1.128387451171875, 1716740931.9379945
1.1478424072265625, 1716740932.2084396
1.128387451171875, 1716740932.4790654
1.1478424072265625, 1716740932.749512
1.1011505126953125, 1716740933.019806
1.2490081787109375, 1716740933.2914982
1.221771240234375, 1716740933.5603173
0.6653594970703125, 1716740933.8309233
0.9221649169921875, 1716740934.1004758
0.6731414794921875, 1716740934.3706563
1.906585693359375, 1716740934.63987
0.0, 1716740934.9081042
0.0, 1716740935.1786041
0.0, 1716740935.4483783
0.0, 1716740935.7180653
0.0, 1716740935.9874716
0.0, 1716740936.2563813
0.0, 1716740936.5253317
0.0, 1716740936.7932658
0.692596435546875, 1716740937.0612757
3.0933380126953125, 1716740937.3318443
3.431854248046875, 1716740937.601857
3.22174072265625, 1716740937.8728576
3.042755126953125, 1716740938.1414149
3.2178497314453125, 1716740938.4131026
3.4513092041015625, 1716740938.6818695
3.09722900390625, 1716740938.9514499
3.073883056640625, 1716740939.2213023
3.073883056640625, 1716740939.4902356
3.050537109375, 1716740939.7606082
2.996063232421875, 1716740940.0321467
3.0544281005859375, 1716740940.302099
2.9299163818359375, 1716740940.5710416
3.1089019775390625, 1716740940.8398323
3.120574951171875, 1716740941.1125128
2.8987884521484375, 1716740941.3820345
3.058319091796875, 1716740941.651597
3.11279296875, 1716740941.92233
3.31512451171875, 1716740942.1938076
3.400726318359375, 1716740942.4650974
3.696441650390625, 1716740942.7368457
3.7625885009765625, 1716740943.0062542
3.9804840087890625, 1716740943.277477
4.2061614990234375, 1716740943.5453696
4.0583038330078125, 1716740943.8177044
2.69256591796875, 1716740944.0855029
1.8715667724609375, 1716740944.3552988
1.7431640625, 1716740944.6253688
1.6069793701171875, 1716740944.8949249
1.6497802734375, 1716740945.1676195
1.688690185546875, 1716740945.4374082
1.3657379150390625, 1716740945.7127192
0.9455108642578125, 1716740945.982495
0.98052978515625, 1716740946.2550862
1.2178802490234375, 1716740946.5256603
1.175079345703125, 1716740946.7973747
1.0544586181640625, 1716740947.0809903
0.879364013671875, 1716740947.3576264
1.0933685302734375, 1716740947.6364732
1.1711883544921875, 1716740947.9054928
0.6964874267578125, 1716740948.174
0.63812255859375, 1716740948.4421947
0.66925048828125, 1716740948.7100244
0.692596435546875, 1716740948.9791129
0.801544189453125, 1716740949.248724
0.7665252685546875, 1716740949.519356
1.16729736328125, 1716740949.7882442
0.45135498046875, 1716740950.0560386
0.0, 1716740950.324304
0.0, 1716740950.59477
0.0, 1716740950.8635182
0.0, 1716740951.1320102
0.0, 1716740951.4017498
0.0, 1716740951.6695526
0.0, 1716740951.939905
0.0, 1716740952.2352142
0.0, 1716740952.5122411
0.0, 1716740952.7802887
0.0, 1716740953.0480905
0.0, 1716740953.316294
0.0, 1716740953.5849907
0.0, 1716740953.85481
0.0, 1716740954.124484
keyboard interrupt receieved.Stopping...
Keyb list stopped
