You are connected to uwbot-04
Robot is reachable
ros2 topic subscription working. Everything is working as expected.
running main
Listening for keyboard events. Press keys to test, Ctrl C to exit
0.0, 1716739436.4280138
0.0, 1716739437.067721
0.0, 1716739437.2873695
0.0, 1716739437.4905846
0.0, 1716739437.6927123
0.0, 1716739437.8920584
0.0, 1716739438.083159
0.0, 1716739438.2705846
0.0, 1716739438.5996237
0.0, 1716739438.7892714
0.0, 1716739438.9932954
0.0, 1716739439.2334762
0.0, 1716739439.3834424
0.0, 1716739439.5748854
0.0, 1716739439.783309
0.0, 1716739439.9832969
0.0, 1716739440.4843254
0.0, 1716739440.7007236
0.0, 1716739441.007587
0.0, 1716739441.0892746
0.0, 1716739441.299517
0.0, 1716739441.5087125
0.0, 1716739441.7648656
0.0, 1716739441.9828053
0.0, 1716739442.1776311
0.0, 1716739442.374521
0.0, 1716739442.5806663
0.0, 1716739442.7860816
0.0, 1716739443.1095688
0.0, 1716739443.3300889
0.0, 1716739443.5033548
0.0, 1716739443.706251
0.0, 1716739443.889556
0.0, 1716739444.0960898
0.0, 1716739444.3163288
0.0, 1716739444.47953
0.0, 1716739444.681352
0.0, 1716739444.906181
0.0, 1716739445.0931482
0.0, 1716739445.2872393
0.0, 1716739445.4979277
0.0, 1716739445.6918902
0.0, 1716739445.8836532
0.0, 1716739446.0977898
0.0, 1716739446.3031769
0.0, 1716739446.4908187
0.0, 1716739446.6903293
0.0, 1716739446.8936615
0.0, 1716739447.1243262
0.0, 1716739447.2855778
0.0, 1716739447.4714818
0.0, 1716739447.6644204
0.0, 1716739447.8771641
0.0, 1716739448.0822546
0.0, 1716739448.2805996
0.0, 1716739448.5112972
0.0, 1716739448.7036755
0.0, 1716739448.889848
0.0, 1716739449.0860043
0.0, 1716739449.321316
0.0, 1716739449.6488276
0.0, 1716739449.7261193
0.0, 1716739449.90138
0.0, 1716739450.087714
0.0, 1716739450.2971108
0.0, 1716739450.5205626
0.0, 1716739450.6781976
0.0, 1716739450.8778002
0.0, 1716739451.0973659
0.0, 1716739451.3617806
0.0, 1716739451.4799201
0.0, 1716739451.6796124
0.0, 1716739451.8920848
0.0, 1716739452.0762603
0.0, 1716739452.2862527
0.0, 1716739452.4754052
0.0, 1716739452.6673024
0.0, 1716739452.878007
0.0, 1716739453.0982492
0.0, 1716739453.2869701
0.0, 1716739453.4779754
0.0, 1716739453.6763504
0.0, 1716739454.0195773
0.0, 1716739454.1907218
0.0, 1716739454.3716693
0.0, 1716739454.6577065
0.0, 1716739454.8831167
0.0, 1716739455.0761015
0.0, 1716739455.2760065
0.0, 1716739455.4723227
0.0, 1716739455.6704283
0.0, 1716739455.8595047
0.0, 1716739456.059096
0.0, 1716739456.2784655
0.0, 1716739456.5364504
0.0, 1716739456.7924006
0.0, 1716739456.977036
0.0116729736328125, 1716739457.1785567
0.01556396484375, 1716739457.3715692
0.0116729736328125, 1716739457.5917876
0.0116729736328125, 1716739457.7775893
0.0, 1716739457.994018
0.0, 1716739458.19859
0.0, 1716739458.4061403
0.0, 1716739458.5881817
0.0, 1716739458.7669253
0.0, 1716739458.984017
0.0, 1716739459.1784043
0.0, 1716739459.3900647
0.0, 1716739459.6950548
0.0, 1716739459.8790565
0.0, 1716739460.0850425
0.0, 1716739460.2852762
0.0, 1716739460.490077
0.0, 1716739460.875916
0.0, 1716739461.107238
0.0, 1716739461.1865497
0.0, 1716739461.3626833
0.0, 1716739461.4730287
0.0, 1716739461.6807168
0.0, 1716739461.8703651
0.0, 1716739462.0641727
0.0, 1716739462.295764
0.0, 1716739462.476948
0.0, 1716739462.771275
0.0, 1716739462.913391
0.0, 1716739463.0741115
0.0, 1716739463.2635903
0.0, 1716739463.502054
0.0, 1716739463.7021286
0.0, 1716739463.8840172
0.0, 1716739464.0910091
0.0, 1716739464.3348894
0.0, 1716739464.493436
0.0, 1716739464.754786
0.0, 1716739464.8782592
0.0, 1716739465.0736046
0.0, 1716739465.2724788
0.0, 1716739465.4631555
0.0, 1716739465.694285
0.0, 1716739465.8799102
0.0, 1716739466.105601
0.0, 1716739466.2862906
0.0, 1716739466.5015862
0.0, 1716739466.6913123
0.0, 1716739466.889298
0.0, 1716739467.1106515
0.0, 1716739467.6760743
0.0, 1716739467.897163
0.0, 1716739468.175446
0.0, 1716739468.2595153
0.0038909912109375, 1716739468.3929567
0.0194549560546875, 1716739468.5836604
0.0038909912109375, 1716739468.8010545
0.0, 1716739468.9770832
0.0038909912109375, 1716739469.2007074
0.0, 1716739469.3966856
0.0, 1716739469.5720842
0.0, 1716739469.7751017
0.0, 1716739469.9793153
0.0, 1716739470.1867898
0.0, 1716739470.3794672
0.0, 1716739470.573695
0.01556396484375, 1716739470.77879
0.0, 1716739470.9818113
0.0, 1716739471.1878686
0.0, 1716739471.3771846
0.0, 1716739471.6320941
0.0, 1716739471.8019297
0.0, 1716739472.1029665
0.0, 1716739472.4809272
0.0, 1716739472.61426
0.0, 1716739472.6964142
0.0, 1716739472.8720136
0.0, 1716739473.064371
0.0, 1716739473.2774599
0.0, 1716739473.4715822
0.0, 1716739473.6769693
0.0, 1716739473.8675387
0.0, 1716739474.062713
0.0, 1716739474.3873227
0.0, 1716739474.5780199
0.0, 1716739474.7808576
0.0, 1716739474.9876268
0.0, 1716739475.1726167
0.0, 1716739475.3985653
0.0, 1716739475.5770893
0.0, 1716739475.7759304
0.0, 1716739475.987395
0.0, 1716739476.1765006
0.0, 1716739476.3852947
0.0, 1716739476.7304978
0.0, 1716739477.022696
0.0, 1716739477.3277316
0.0, 1716739477.469022
0.0, 1716739477.5843103
0.0, 1716739477.6815758
0.0, 1716739477.8767
0.0, 1716739478.08103
0.0, 1716739478.2653348
0.0, 1716739478.4823158
0.0, 1716739478.6640706
0.0, 1716739478.8854005
0.0, 1716739479.0944269
0.0, 1716739479.275432
0.0, 1716739479.4742658
0.0, 1716739479.6716197
0.0, 1716739479.866812
0.0, 1716739480.0693204
0.0, 1716739480.2688398
0.0, 1716739480.4726224
0.0, 1716739480.6705806
0.0, 1716739480.8892465
0.0, 1716739481.1226463
0.0, 1716739481.3901496
0.0, 1716739481.5663073
0.0, 1716739481.6932971
0.0, 1716739481.8826911
0.0, 1716739482.0871723
0.0, 1716739482.2812905
0.0, 1716739482.489207
0.0, 1716739482.7028224
0.0, 1716739482.8822896
0.0, 1716739483.0832233
0.0, 1716739483.2816756
0.0, 1716739483.5065858
0.0, 1716739483.6760702
0.0, 1716739483.89502
0.0, 1716739484.0855298
0.0, 1716739484.2829976
0.0, 1716739484.4744496
0.0, 1716739484.6800523
0.0, 1716739484.8763118
0.0, 1716739485.0662541
0.0, 1716739485.2773097
0.0, 1716739485.4942212
0.0, 1716739485.6800625
0.0, 1716739486.2478206
0.0, 1716739486.2827933
0.0, 1716739486.3710148
0.0, 1716739486.5679111
0.0, 1716739486.77691
0.0, 1716739486.9710476
0.0, 1716739487.1791677
0.0, 1716739487.3806806
0.0, 1716739487.575223
0.0, 1716739487.7921312
0.0, 1716739487.975878
0.0, 1716739488.225151
0.0, 1716739488.3970306
0.0, 1716739488.581163
0.0, 1716739488.770067
0.0, 1716739488.9785564
0.0, 1716739489.1778092
0.0, 1716739489.3953462
0.0, 1716739489.7151093
0.0, 1716739490.1941164
0.0, 1716739490.5758142
0.0, 1716739490.9693358
0.0, 1716739491.0663095
0.0, 1716739491.194227
0.0, 1716739491.3898516
0.0, 1716739491.598029
0.0, 1716739491.7741983
0.0, 1716739491.9895284
0.0, 1716739492.1786082
0.0, 1716739492.377945
0.0, 1716739492.5791106
0.0, 1716739492.7744226
0.0, 1716739492.973585
0.0, 1716739493.2121048
0.0, 1716739493.3678033
0.0, 1716739493.5574453
0.0, 1716739493.7680697
0.0, 1716739493.9827747
0.0, 1716739494.1692202
0.0, 1716739494.370144
0.0, 1716739494.5664735
0.0, 1716739494.7727137
0.0, 1716739494.9701488
0.0, 1716739495.210019
0.0, 1716739495.77658
0.0, 1716739495.9834132
0.0, 1716739496.0438364
0.0, 1716739496.2001245
0.0, 1716739496.4086344
0.0, 1716739496.629767
0.0, 1716739496.8131304
0.0, 1716739496.9974108
0.0, 1716739497.181056
0.0, 1716739497.389638
0.0, 1716739497.5787437
0.0, 1716739497.7644398
0.0, 1716739497.9677417
0.0, 1716739498.1676486
0.0, 1716739498.3736417
0.0, 1716739498.5649693
0.0, 1716739498.7812977
0.0, 1716739498.973857
0.0, 1716739499.1659596
0.0, 1716739499.37449
0.0, 1716739499.5629385
0.0, 1716739499.8880596
0.0, 1716739500.1534476
0.0, 1716739500.2682242
0.0, 1716739500.3621926
0.0, 1716739500.6603491
0.0, 1716739500.7566001
0.0, 1716739501.0776293
0.0, 1716739501.504137
0.007781982421875, 1716739501.598754
0.007781982421875, 1716739501.72842
0.023345947265625, 1716739501.8880873
0.038909912109375, 1716739502.1002567
0.007781982421875, 1716739502.3512728
0.0038909912109375, 1716739502.68198
0.0, 1716739503.0370002
0.0, 1716739503.2611752
0.0, 1716739503.4400892
0.0, 1716739503.6587887
0.0, 1716739503.7618825
0.0, 1716739503.8584185
0.0, 1716739504.0638402
0.0, 1716739504.3379467
0.0, 1716739504.4792428
0.0, 1716739504.7862616
0.0, 1716739504.8944297
0.0038909912109375, 1716739505.1030433
0.0038909912109375, 1716739505.2727103
0.007781982421875, 1716739505.5030975
0.0038909912109375, 1716739505.661935
0.0038909912109375, 1716739505.8769531
0.0038909912109375, 1716739506.0809872
0.0038909912109375, 1716739506.2689939
0.0, 1716739506.481654
0.0, 1716739506.6768646
0.0038909912109375, 1716739506.870732
0.0038909912109375, 1716739507.0632522
0.0038909912109375, 1716739507.2665684
0.0038909912109375, 1716739507.469435
0.0038909912109375, 1716739507.6711683
0.0038909912109375, 1716739507.8713162
0.0038909912109375, 1716739508.0685408
0.0038909912109375, 1716739508.260747
0.0038909912109375, 1716739508.4679978
0.0038909912109375, 1716739508.784617
0.0038909912109375, 1716739508.9606032
0.0038909912109375, 1716739509.0938041
0.0038909912109375, 1716739509.3265994
0.0038909912109375, 1716739509.4595315
0.0038909912109375, 1716739509.7857134
0.0038909912109375, 1716739509.9693863
0.0038909912109375, 1716739510.1598551
0.0038909912109375, 1716739510.3651302
0.0038909912109375, 1716739510.5638366
0.0038909912109375, 1716739510.7585208
0.0038909912109375, 1716739510.976646
